Date,Open,High,Low,Close,Volume,Change,5MA,5Disparity,20MA,20Disparity,60MA,60Disparity,120MA,120Disparity,label
2021-09-14,32800,33150,32650,32650,741436,-0.0030534351145038,32680.0,0.9990820073439411,32785.0,0.9958822632301356,33017.5,0.9888695388808963,31769.166666666668,1.027726044644965,-0.0851063829787234
2021-09-15,32550,32800,32500,32550,561560,-0.003062787136294,32660.0,0.9966319657072872,32697.5,0.9954889517547212,33018.333333333336,0.985815960829842,31804.583333333332,1.0234373976497098,-0.0851063829787234
2021-09-16,32700,32750,32400,32500,610516,-0.0015360983102918,32640.0,0.9957107843137256,32662.5,0.9950248756218906,33020.0,0.984251968503937,31842.916666666668,1.0206351491043273,-0.0851063829787234
2021-09-17,32500,32650,32300,32550,550146,0.0015384615384614,32600.0,0.9984662576687116,32692.5,0.9956412021105758,33025.0,0.9856169568508706,31882.5,1.0209362502940484,-0.0851063829787234
2021-09-23,32300,32550,32250,32500,706887,-0.0015360983102918,32550.0,0.998463901689708,32692.5,0.9941117993423568,33025.833333333336,0.9840781206631172,31917.916666666668,1.0182368836729632,-0.0851063829787234
2021-09-24,32600,32700,32350,32450,552556,-0.0015384615384614,32510.0,0.9981544140264534,32685.0,0.992810157564632,33032.5,0.9823658518126088,31953.333333333332,1.0155435009388691,-0.25
2021-09-27,32300,32750,32300,32550,523560,0.0030816640986133,32510.0,1.001230390649031,32672.5,0.9962506695232994,33043.333333333336,0.9850701099566226,31994.583333333332,1.0173597093257971,0.30120481927710846
2021-09-28,32500,32650,32350,32450,536695,-0.0030721966205836,32500.0,0.9984615384615384,32657.5,0.9936461762229196,33054.166666666664,0.9817219210891216,32033.75,1.012994107776954,0.13414634146341464
2021-09-29,32000,32450,32000,32400,770964,-0.0015408320493066,32470.0,0.997844163843548,32657.5,0.9921151343489244,33067.5,0.9798140167838512,32070.0,1.010289990645463,0.47593582887700536
2021-09-30,32450,32750,32300,32600,730094,0.0061728395061728,32490.0,1.0033856571252693,32665.0,0.9980101025562528,33080.833333333336,0.985464896591682,32108.75,1.0152995678748005,0.1712707182320442
2021-10-01,32350,32550,31950,32000,858992,-0.0184049079754601,32400.0,0.9876543209876544,32625.0,0.9808429118773946,33085.0,0.9672056823333836,32142.916666666668,0.9955537119375704,-0.9285714285714286
2021-10-05,31850,32100,31700,31700,1348803,-0.009375,32230.0,0.9835556934533044,32537.5,0.9742604686899732,33073.333333333336,0.9584761136867568,32174.166666666668,0.9852625035613458,-0.9285714285714286
